a,b
0.00000002,0.999791516217066
0.00000004,0.999582897302639
0.00000006,0.999374213240428
0.00000008,0.999156728068604
0.0000001,0.998956664986337
0.00000012,0.9987139589302
0.00000014,0.998464220136454
0.00000016,0.998325802502291
0.00000018,0.997776449426354
0.0000002,0.997760451656762
0.00000022,0.997317816058673
0.00000024,0.99596063651254
0.00000026,0.997280083780996
0.00000028,0.993315432222991
0.0000003,0.992615744287391
0.00000032,0.994884725607501
0.00000034,0.969907937399358
0.00000036,0.986469341774966
0.00000038,0.938469407378753
0.0000004,0.535791232389521
0.00000042,0.227914084730776
0.00000044,0.585834802425482
0.00000046,0.977049530757374
0.00000048,0.934370159557365
0.0000005,0.932567686885191
0.00000052,0.994491333455136
0.00000054,0.954433772768673
0.00000056,0.978258416587957
0.00000058,0.986937412021882
0.0000006,0.965589287100905
0.00000062,0.991915738426313
0.00000064,0.977779241374372
0.00000066,0.97762797920214
0.00000068,0.992068000984851
0.0000007,0.973470474162376
0.00000072,0.987683732453992
0.00000074,0.985230891199416
0.00000076,0.975844474945907
0.00000078,0.991830236241453
0.0000008,0.977751713991667
0.00000082,0.981634992710096
0.00000084,0.986556765370788
0.00000086,0.974229456625194
0.00000088,0.989496578414189
0.0000009,0.979900601593531
0.00000092,0.977437366168518
0.00000094,0.989763738310161
0.00000096,0.972096060541227
0.00000098,0.984218309435178
0.000001,0.982484700664627
0.00000102,0.969256355701981
0.00000104,0.988998374951815
0.00000106,0.968919387478931
0.00000108,0.973129088360292
0.0000011,0.984730925234907
0.00000112,0.950957116436754
0.00000114,0.98154695642592
0.00000116,0.957727619729383
0.00000118,0.917941554890004
0.0000012,0.987605365644312
0.00000122,0.763991711140076
0.00000124,0.369261164500755
0.00000126,0.482200092821607
0.00000128,0.867563813760091
0.0000013,0.986515798734498
0.00000132,0.967322535269816
0.00000134,0.981261195778597
0.00000136,0.985040930098402
0.00000138,0.983053950351027
0.0000014,0.985430810389919
0.00000142,0.984954407446689
0.00000144,0.984928001596477
0.00000146,0.984951085769194
0.00000148,0.984726603299873
0.0000015,0.984545819713025
0.00000152,0.984338833137752
0.00000154,0.984101390486389
0.00000156,0.983933726051365
0.00000158,0.983644824549149
0.0000016,0.983436247318734
0.00000162,0.983310803210623
0.00000164,0.982918443091326
